category,text
entertainment,parker saxophone head auction saxophone belonging legendary jazz musician charlie parker expected fetch auction jazz memorabilia next month sale guernsey auction house new york feature instrument musician including john coltrane benny goodman item include evening gown belonging ella fitzgerald organiser said auction first u devoted item belonging jazz musician item auctioned include unreleased tape recording music parker well handwritten sheet music jazz composer john coltrane theolonius monk among instrument sale trumpet belonged dizzy gillespie expected fetch around well jj johnson trombone vibraphone beloned lionel hampton work art musician including mile davis bruni sablan also featured proceeds auction take place february go towards several organisation including john coltrane foundation foundation set memory benny goodman red cross
sport,hewitt survives nalbandian epic home favourite lleyton hewitt came dramatic five set battle argentine david nalbandian reach australian open semi final hewitt looked cruising victory racing two set lead nalbandian broke serve three time next two set set nailbiting decider hewitt eventually grabbed vital break game served win set meeting andy roddick winner match face either roger federer marat safin final ninth seed nalbandian never come back two set win match indication would hewitt dominated first two set argentine stoked temperature ahead match saying hewitt exuberant court celebration good sport word hewitt one change end second set australian appeared brush shoulder went chair balance power changed completely third set hewitt allowed level dip double faulted twice nalbandian broke way taking fourth set tiring third seed showed incredible reserve strength force break despite outplayed much final set three time coming within two point defeat produced love service game finish match four hour five minute kept hanging always tough serving second fifth set said hewitt never reached last four home grand slam told give everything end paid long way holding trophy im hanging four guy left win top four world set pretty good showdown semi final
tech,anti tremor mouse stop pc shake special adaptor help people hand tremor control computer mouse easily developed device us similar steady cam technology found camcorder filter shaking hand movement people hand tremor find hard use conventional mouse simple computer task erratic movement cursor screen three million briton sort hand tremor condition said uk national tremor foundation using computer mouse well known extremely hard people tremor delighted hear technology developed address problem said karen walsh uk national tremor foundation commonly associated tremor parkinson disease also caused condition like essential tremor et tremor often affect older people hit age et example genetic afflict people throughout life assistive mouse adapter ama brainchild ibm researcher jim levine developed prototype seeing uncle parkinson disease struggle mouse control knew must way improve situation million tremor sufferer around world including elderly number elderly computer user increase population age time need computer access grows said computer user plug device pc adjusted depending severe tremor also able recognise multiple clicking mouse button caused shaky digit ibm said would partner small uk based electronics firm montrose secam produce device cost james cosgrave one company director said would make big difference tremor im pilot tremor condition limited ability fly plane said using pc proven almost impossible simply everything revolves around using mouse accurately manipulate tiny cursor screen said prototype gadget transformed life device could help open computing million people found shaking barrier last year office national statistic reported first time half household britain home computer price getting cheaper get online computer ownership increasing although british people tried internet briton aged online six million uk household broadband net middle estimated uk net user broadband still million using net dial connection
business,india seek boost construction india cleared proposal allowing foreign direct investment construction sector kamal nath commerce industry minister announced decision delhi thursday following cabinet meeting analyst say improving india infrastructure boost foreign investment sector indian government decision spread good cheer construction sector according indian firm spokesman dlf builder dr vancheshwar told bbc mean better offering consumer well builder said firm benefit world class strategic partnership design expertise technology consumer better choice government proposal state foreign investment allowed automatic route construction sector project including housing hotel resort hospital educational establishment automatic route mean construction company need get one set official approval need gain clearance foreign investment promotion board bureaucratic government hope new policy create employment construction worker benefit steel brick making industry mr nath also announced plan allow foreign investor develop smaller area land acquired foreign investor enter construction development area build resort township commercial premise construct least square meter square foot within specific timeframe said mr nath without specifying timeframe previously foreign investor develop much larger area discouraging entering indian market measure designed discourage foreign investor buying selling land speculatively without developing anshuman magazine managing director cb richard elli international real estate company told bbc big positive step however chittabrata majumdar general secretary centre indian trade union citu said allowing fdi country compromising india self reliance said country develop basis foreign investment alone mr majumdar also said assessment made whether foreign investment indeed beneficial country term employment money generated another way international company filling deep pocket
sport,edu blast arsenal arsenal brazilian midfielder edu hit club stalling offering new contract edu deal expires next summer linked spanish trio real madrid barcelona valencia told bbc sport im sure want stay club let situation go far really wanted sign come offer six month indicating wanted sign made think edu brother representative amadeo fensao previously said arsenal current offer midfielder well short seeking edu added brother due come london thursday meeting planned january sort arsenal choice stay go want sort soon possible best interest club im going make decision meeting later week edu able begin negotiation club fifa regulation allow player start talk six month contract expire midfielder broke brazilian national side admitted flattered linked three spanish giant edu said heard story news madrid president florentino perez valencia people well barcelona interested nice never talked ca say want sign last month wenger said hopeful edu would sign new deal played suggestion lure club like real madrid would strong edu edu added encouraged wenger support still good relationship arsene wenger always said want sign
sport,hamm bow u woman football legend mia hamm played final game hamm officially retired year athens olympics took field last time help u claim win mexico hamm end career prolific scorer male female international football goal game u twice fifa woman player year world cup two olympic gold retirement hamm said mixed emotion thing life put back burner focus time energy see commit everything beginning friendly also saw end julie foudy joy fawcett u career hamm embark new life husband chicago cub shortstop nomar garciaparra stand watch final game agreed new deal cub joining july
tech,u blogger fired airline u airline attendant suspended inappropriate image blog web diary say fired ellen simonetti known queen sky wrote anonymous semi fictional account life sky suspended delta september statement said initiating legal action airline wrongful termination delta spokesperson confirmed wednesday m simonetti longer employee delta repeatedly declined elaborate call internal employee matter spokesperson reiterated position wednesday confirming m simonetti longer company spokesperson also confirmed clear rule attached unauthorised use delta branding including uniform m simonetti announced blog fired november said official statement result suspension subsequent termination without cause delta airline moving forward filing discrimination complaint federal government eeoc u equal employment opportunity commission added also hired texas based law firm initiate legal action wrongful termination defamation character lost future wage m simonetti told bbc news website received warning explanation suspended september queen sky received lot support advice global blogging community since news suspension brought light bbc news website others story highlighted concern amongst growing blogging community conflict interest employment law free speech personal website blog started january way getting mother death contains mix fictional non fictional account queen sky developed month character right according m simonetti posting made fictional name city company mentioned protect anonymity posting contained image uniform image one showed m simonetti flight wing removed soon informed suspension never meant something harm company understand think harm m simonetti said legal expert u speculated delta might concerned fictional content blog may linked back airline image posted delta hit recently pressure rising fuel cost fierce competition said need cut job reduce cost year analyst warned recently airline might seek chapter bankruptcy prevention last week struck cost cutting deal pilot could save bankruptcy deal would see pilot accept pay cut return right buy million delta share union said monday negotiated deal defer debt due next year airline also said agreed term loan american express
tech,google launch tv search service net search giant google launched search service let people look tv programme service google video beta search closed caption information come programme search u channel content currently result list programme still image text point search phrase spoken expand time include content channel said google spokesperson first version service part google expanding effort ubiquitous search engine people find want web beyond think tv big part people life said jonathan rosenberg google vice president product management ultimately would like tv programming indexed google video indexing u based programme pb nba fox news c span since december clue google global broadcaster would included time plan increase number television channel video content available via google video product detail share today google spokesperson told bbc news website result thrown search also include programme episode information like channel date time also let people find next time channel programme aired locally using u zip code search function rival search engine yahoo developing similar type video search webcasts tv clip promotes homepage offer direct link website movie clip relevant search query pinpoint search query occurred spokeswoman told financial time monday yahoo adding captioning bloomberg bbc bskyb broadcast smaller service blinkx tv launched last month search link tv news film trailer video audio clip
sport,arnesen denies rift santini tottenham sporting director frank arnesen denied coach jacques santini resigned clash personality white hart lane newspaper speculation santini felt undermined arnesen role club absolutely true arnesen told bbc radio five live one thing made resign personal problem talked recently said matter absolutely arnesen said unable throw light onto problem caused santini quit game charge added jacques never gone exactly trust accept think respect plan weekend talk board monday clarify situation arnesen countered criticism timing announcement coming le hour tottenham premiership fixture charlton come personal problem think talk timing said also denied report santini given pay absolute nonsense one said go went said spur sporting director tottenham structure sporting director working alongside coach based continental model arnesen see reason change confidence structure confident started something july still lot confidence tottenham said however former spur england defender gary stevens said would surprised system caused rift think problem go lot deeper director football white hart lane santini stevens told five live paper could worked together frank arnesen creative forward thinking expansive player whereas think santini much opposite case organised disciplined happy conceding goal sort arrangement work two people principle ideal work closely seems happened
politics,uk stand firm eu rebate britain eu rebate renegotiation next week european council summit jack straw said foreign secretary told mp rebate secured margaret thatcher entirely justified new european commission president jose manuel barroso suggested cash could shared among net contributor eu budget mr straw acknowledged country newly enlarged nation eu still see light rebate foreign secretary told common foreign affair committee position clear entirely justified negotiation added think would political price pay uk stance britain contributed received le eu state two day european council summit brussels begin december widely expected mark beginning lengthy negotiating period eu budget wrangling could stretch even uk france germany austria netherlands sweden want eu budget capped member state combined national income commission want mr straw said eu commission proposal would mean hike budget know national government thinking increasing budget amount added foreign secretary said hoped talk next week could produce date beginning negotiation turkey possible eu membership although would prospect date joining time
entertainment,van gogh festival film withdrawn murdered director theo van gogh controversial film submission pulled rotterdam film festival security fear one three work shown part freedom expression event tribute late film maker life film critical treatment woman islam tv screening thought led murder day dutch festival begin wednesday submission made liberal somali dutch politician ayaan hirsi ali due shown january van gogh shot stabbed death november several month receiving death threat following submission first broadcast dutch television two van gogh film shown planned including theatrical world premiere last feature festival director sandra den hamer said festival reflects happens around u within cinema festival open french film district court moment trial made raymond depardon event see film competing win three top tiger award aim introduce promising new talent new section added year festival include cinema future cinema world special focus russian south east asian production also iraqi german offering entitled underexposure look life iraq saddam hussein
business,car pull u retail figure u retail sale fell january biggest monthly decline since last august driven heavy fall car sale fall car sale expected coming december rise car sale fuelled generous pre christmas special offer excluding car sector u retail sale january twice analyst expecting u retail spending expected rise quickly steve gallagher u chief economist sg corporate investment banking said january figure decent number seeing number saw second half still pretty healthy added sale appliance electronic store january sale hardware store dropped furniture store sale dipped sale clothing clothing accessory store jumped sale general merchandise store category includes department store rose strong gain part put consumer spending gift voucher given christmas sale restaurant bar coffee house rose grocery store sale december overall retail sale rose excluding car sector sale rose parul jain deputy chief economist nomura security international said consumer spending would continue rise slower rate growth consumer continue retain strength first quarter said van rourke bond strategist popular security agreed latest retail sale figure slightly stronger expected
entertainment,wine comedy win critic award quirky comedy sideways named best film year los angeles film critic association u movie also picked four accolade including best director alexander payne supporting actor thomas haden church british actress imelda staunton recognised role vera drake winning best actress liam neeson best actor kinsey award handed january ceremony la vega sideways tell story two men take road trip california wine region also star paul giamatti virginia madsen also named best supporting actress performance film house flying dagger directed yimou zhang named best foreign language film animation award went incredibles unusually runner category also named clint eastwood million dollar baby missing best film award best director runner martin scorsese aviator career achievement award handed veteran actor comic jerry lewis ceremony next year
entertainment,vera drake scoop film award oscar hopeful mike leigh imelda staunton winner evening standard british film award vera drake leigh drama backstreet abortionist named best film staunton played title role named best actress winner included paddy considine crowned best actor role dead man shoe bridget jones edge reason named evening standard reader film central london ceremony leigh presented winner statuette timothy spall staunton award announced patrick stewart glittering ceremony savoy sunday night evening standard film critic derek malcolm said leigh never made film better controlled technically secure one film year know alexander walker special award honour made supreme contribution british film went tim bevan eric fellner co chairman working title film production company behind film beautiful laundrette billy elliot boy shaun dead bridget jones edge reason simon pegg star co wrote shaun dead peter seller award comedy winner included emily blunt nathalie press jointly named itv london promising newcomer award performance pawel pawlikowski rite passage story summer love pawlikowski best screenplay statuette roger deakins technical achievement award cinematography village ladykillers guest ceremony included dame judi dench kim cattrall charles dance bill nighy colin firth award hosted jack dee screened itv london tuesday gmt
tech,microsoft make anti piracy move microsoft say clamping people running pirated version window operating system restricting access security feature window genuine advantage scheme mean people prove software genuine mid still allow unauthorised copy get crucial security fix via automatic update option would limited microsoft release regular security update software protect pc either pc detect update automatically user manually download fix microsoft site running pirated window program would access downloads add ons software giant offer people try manually download security patch let microsoft run automated checking procedure computer give identification number microsoft regular patch release newly found security flaw important stop worm virus threat penetrating pc security expert concerned restricting access patch could mean rise attack threat pc left unprotected graham cluley senior consultant security firm sophos told bbc news website positive decision sound like decision allow critical security patch remain available legitimate illegitimate user window good news everyone us net said window genuine advantage first introduced pilot scheme september english language version window microsoft window operating system heavily exploited virus writer widespread constantly seeking new security loophole take advantage company trying tackle security threat whilst cracking pirated software time software piracy cost company billion say company announced earlier january releasing security tool clean pc harbouring virus spyware pc infected virus fighting program updated monthly precursor microsoft dedicated anti virus software last year introduced window xp counterfeit project uk based pilot scheme ran november december scheme meant anyone pre installed copy operating system pc bought november could replace counterfeit version window xp legal one free also increasing effort squash software piracy china norway czech republic pirated software huge problem offering discount legitimate software user pirated copy window china particular problem piracy estimated said mr cluley
entertainment,john peel replacement show begin permanent replacement late dj john peel bbc radio show go air tuesday three host chosen fill legendary presenter slot rock dj huw stephen go air slot every tuesday black music champion ra kwame wednesday dance dj rob da bank thursday rob da bank filled peel heart attack aged october three play diverse unpredictable non commercial song banner onemusic show radio said station trying replace peel would rise challenge keeping legacy alive unpredictable music three dj chosen depth musical knowledge across variety musical genre station said rob da bank one host blue room early morning weekend show play electronic dance music huw stephen one half thursday night show bethan huw wale explores new music especially coming act wale ra kwame host homegrown radio digital station dedicated showcasing best hip hop garage another change station line see sara cox return maternity leave host lunchtime show saturday week good luck three one dj could fill peel boot probably good idea get contributing time next year hope saying well dj done fear time next year really realise much john peel forever missed good idea continue legacy without attempting replace john peel also surely wider spectrum international music three top radio dj unite one world name congratulation ! whole glory john peel fact commited one genre played liked across range music going seem already bring back steve lamacq obvious heir john peel marvellous wonderful talented claire kember totallyradio com lady young fresh one knowledgeable likeable people british broadcasting today everyone listens show understands compare ledgendary john peel bbc radio seek real talent internet radio station people making real impact world music world general
entertainment,star pay tribute actor davis hollywood star including spike lee burt reynolds oscar nominee alan alda paid tribute actor ossie davis funeral new york veteran star ossie davis well known civil right activist died miami age february friend family including actress ruby dee wife year gathered riverside church saturday also present service former u president bill clinton singer harry belafonte gave eulogy would good president united state said mr clinton like gave gave year old found dead last weekend hotel room florida making film police said appeared died natural cause davis made acting debut way starring sidney poiter frequently collaborated director spike lee starring seven lee film including jungle fever right thing malcolm x attallah shabazz daughter activist malcolm x recalled famous eulogy delivered davis father funeral harlem come bid farewell one finest hope said quoting man knew uncle ossie ditto ossie hero still said aviator star alan alda family friend forty year ossie thing beauty want badly someday dignity little anyway added burt reynolds davis co star tv comedy evening shade midday funeral score harlem resident formed queue outside church pay respect davis hard fathom longer able call wisdom humour loyalty moral strength guide u choice yet made battle yet fought said belafonte ardent civil right activist friend davis year fortunate long
entertainment,low budget film win cesar film follows group alienated youth paris suburb prepare perform century play france top cinema award lesquive earned cesar prize director tunisian born abdellatif kechiche young star year old actress sara forestier saw competition big budget french epic long engagement box office hit chorus u film lost translation award best foreign feature wistful romantic comedy directed sofia coppola already several award including oscar best screenplay late release france made contender year cesars low budget lesquive depicts travail group youth getting ready perform school play century dramatist marivaux actor mostly amateur action set impoverished suburb paris home thousand immigrant north africa child kechiche said made film wanted show people normally see cinema long engagement world war drama featuring audrey tautou five cesar award chorus film schoolteacher introduces unruly classroom pleasure classical singing two award best music best sound u actor smith honorary award ceremony thanked family hero nelson mandela speech
politics,profile david blunkett resigned position home secretary wednesday david blunkett charge substantial body government portfolio including race policing immigration responsibility running home office included civil emergency security terrorism expenditure named home secretary general election mr blunkett seen focus office intensify attack world trade center september heightened concern security immigration particular labour loyalist working class background mr blunkett unafraid pushing tough change labour policy recently issue identity card provoked controversy question raised cost invasion civil liberty mr blunkett also centre humiliating scandal involving former immigration minister beverly hughes received full backing m hughes forced resign april abuse visa processing system claimed unaware mr blunkett comment immigration prompted censure told refugee afghanistan kosovo get back home start rebuilding country also urged people ethnic minority develop sense belonging britain telling speak english home avoiding political correctness second nature former home secretary spurns metropolitan elite airy fairy libertarian earlier year coined phrase liberati amalgam glitterati liberal yet january year courted controversy seemingly liberal reclassification cannabis grade b grade c status drug recent furore mr blunkett always appeared interested politics personal life mr blunkett told daily telegraph continued wear wedding ring spite divorcee useful way ensuring people casually think available added available getting job mr blunkett entered parliament sheffield brightside first contesting sheffield hallam seat one blind mp first reach front bench cabinet relaxed performance guide dog side despatch box labour party national executive conference platform made easy forget disability mr blunkett described able see simply inconvenience using braille speech briefed official tape also sharp tongue time pragmatic approach politics mr blunkett schooled sheffield led city council seven year entering common chaired labour party nationally unifying force shadowing health education tony blair first government mr blunkett put charge education employment big increase fund school insisting improved standard literacy numeracy prepared stand teaching union sometimes heckled speech policy charging university student tuition fee popular labour party regarded loyal colleague conciliator avoids faction man whose humour determination make widely popular wry smile well guide dog lucy threw chamber speech tory opponent lucy replaced half sister sadie black labrador curly coated retriever cross nearly decade mr blunkett side
business,news corp eye video game market news corp medium company controlled australian billionaire rupert murdoch eyeing move video game market according financial time chief operating officer peter chernin said news corp kicking tire pretty much video game company santa monica based activison said one firm takeover list video game big business paper quoted mr chernin saying would like get success product sony playstation microsoft x box nintendo game cube boosted demand video game day arcade classic space invader pac man donkey kong long gone today game often budget big enough feature film look give gamers real experience possible price tag reflecting heavy investment development company video game proving almost profitable fun mr chernin however told ft news corp finding difficult identify suitable target struggling gap company like electronic art come high price tag next tier company explained conference phoenix arizona may focused one two product line
sport,blue slam blackburn savage birmingham confirmed blackburn made bid robbie savage managing director karen brady called derisory rover reportedly offered front wale star fee rising brady told sun bid waste fax paper time added way thing going could affect relationship club got robbie head sale savage future birmingham source speculation several week fan criticising performance club earlier season however good display west brom aston villa impressed blue fan crowd gave massive standing ovation came saturday nice said fantastic even though criticised number recent week saturday showed much mean say transfer rumour two club created speculation phoned every national newspaper saying blackburn trying buy birmingham manager steve bruce insists want sell savage lot said written sav terrific birmingham city last two half year said fan love epitomises work hard like people like many like hell sell someone else interested
business,tsunami cost sri lanka sri lanka face bill reconstruction tsunami killed people central bank say estimate preliminary bank governor sunil mendis told reporter could rise island state asking international monetary fund help pay relief said bank rupee set aside lend lower interest rate lost property according mr mendis half imf support could come freeze debt repayment would free resource immediately rest could come five year emergency loan sri lanka hoping wider freeze creditor paris club creditor meet january discus debt moratorium nation hit tsunami ravaged south east asia december people across region feared dead million left homeless destitute full reckoning economic cost sri lanka tsunami clear time come already look likely growth first half slow mr mendis told reporter although would say much one side effect disaster value rupee risen foreign fund flooded country currency strengthened since late december coming close rupee u dollar first time six month
tech,microsoft take desktop search microsoft entered desktop search fray releasing test version tool find document e mail file pc hard drive beta program work pc running window xp window desktop search market becoming increasingly crowded firm touting program help people find file search giant google launched desktop search tool october yahoo planning release similar software january ambition search provide ultimate information tool find anything looking said yusuf mehdi corporate vice president microsoft msn internet division microsoft program used toolbar window desktop internet explorer browser within outlook e mail program software giant coming late desktop search arena competing large number rival google already released desktop tool yahoo planning get game january aol expected offer desktop searching early next year small firm blinkx copernic enfish x technology x friend offer tool catalogue huge amount information people increasingly store desktop home computer apple release similar search system computer called spotlight due released tiger operating system
politics,nh waiting time target cut hospital waiting time patient wale cut extent england welsh health minister jane hutt said patient would wait month outpatient appointment march current target month said target inpatient appointment would remain month march announcement came new monthly waiting figure showed drop current inpatient target set assembly government extended second offer guarantee scheme give patient option treatment outside wale detail funding resource new target expected new year england current target inpatient seeing consultant operation six month dr richard lewis welsh secretary british medical association bma welcomed new target make faster progress waiting list however much remains done waiting list waiting time wale still lag long way behind england said capacity must built system sustained investment ensure welsh patient receive worse service patient border health analyst tony beddow welsh institute health social care called new target reasonably impressive wednesday m hutt also announced health service spent reducing waiting time improving key area modernising staff pay structure wale m hutt said major achievement made cutting unacceptably long wait treatment past year turning corner long wait wale need see reduction long waiter improved said added target intended ensure one wait year treatment see consultant let u forget two third waiting treatment waiting le six month target affect small minority patient wale waiting far long rhodri glyn thomas plaid cymru health spokesman said exactly target set qualification dependent second offer failed target failed minister failed policy welsh liberal democrat kirsty williams called new target hugely unambitious leaf patient wale still waiting two year treated conservative health spokesman jonathan morgan said spending money waiting list gone roof audit commission said money spent efficiently effectively quite criticism meanwhile latest monthly waiting list figure showed total number people waiting month inpatient wale fallen statistic end november showed decline since october number waiting month also fell m hutt said excellent figure people waiting list kind last month
politics,final hunt held ban loom hunt england wale begun last day hunting dog legal due later thousand supporter expected turn meet many altered normal schedule thursday ban hunting dog come effect gmt friday countryside alliance latest legal bid block ban thwarted wednesday appeal court ruled hunting act lawful group say hunting continue form ban come hunt expected test new law limit others expected defy ban continuing hunt illegally anti hunt organisation ban culmination year campaigning say hope stay within law mike hobday league cruel sport told bbc news long urged go drag hunting follow artificial scent hope continue chase fox chase wild mammal around countryside law confident brought justice headquarters quorn hunt leicestershire feeling running high hunt enthusiast prepared final legal hunt bbc correspondent sarah mukherjee said hunt supporter tear said many people share countryside alliance optimism hunting would able continue farmer geoff brook senior member quorn hunt told bbc news people life revolved around hunting described ban ridiculous badly thought said would hard people defy would want risk income getting criminal record court appeal wednesday countryside alliance failed attempt hunting act ruled invalid say ban unenforceable law unclear impossible police alliance say hunt supporter go test law limit saturday league cruel sport rspca say monitor hunt assist police bringing prosecution association chief police officer issued guidance force deal new rule spokesman said basically going police officer chasing car across field based intelligence information received well decision police individual hunt left local force officer sent hunt disruption expected said police would consider evidence submitted anti hunt organisation merit
politics,minister lose slopping case scottish executive lost appeal inmate compensation forced slop prison armed robber robert napier claimed suffered outbreak skin complaint eczema slopping barlinnie prison napier said practice prisoner use bucket cell toilet breached human right thursday court session threw move executive apply rigorous standard proof executive face similar claim damage prisoner former inmate action already raised court session sheriff court scotland executive spokesman said study judgement detail much changed address issue raised napier case example slopping ended barlinnie work prison accelerated today judgement affect outcome case napier remand prisoner time raised legal challenge european convention human right sought awarded compensation last april winning case executive minister raised appeal arguing standard proof applied case alleging breach european convention human right degrading inhumane treatment beyond reasonable doubt standard normally applied criminal trial scotland however civil litigation settled test balance probability judge lord cullen sitting lord osborne lord hamilton ruled alleged human right breach involving degrading treatment dealt normal civil standard napier lawyer tony kelly belief action soon followed others mr kelly said hundred people still undergoing slopping overcrowding poor regime people certainly heartened today judgement scottish national party justice minister kenny macaskill said slopping case fiasco start finish said minister fully aware state scotland jail fund available chose ignore problem ruling suspect faced even claim doubt payouts short term executive saving resulted long term public cost
tech,medium gadget get moving pocket sized device let people carry around video image set big year according industry expert last year saw emergence portable medium player window based creative zen portable medium player samsung yepp iriver pmc archos av series among others year set get smarter connected allow people find video watch archos launched latest range linux based portable medium device consumer electronics show la vega friday dubbed pocket medium assistant pma crucially wi fi capability built first time consumer showing great thirst device store medium one place anywhere access said henri crohas chief archos consumer stay connected productive time archos said focus device second gadget people pocket mobile unlike window based player archos av series device always able record video source tv well playback content put onto device copy protected cannot swapped another device recording perhaps crucial functionality seen point portable video lot video watch wi fi connectivity open possibility content delivery via high speed wireless link archos also announced would open software development kit linux developer application could created device microsoft also made announcement portable medium arena ce primarily u consumer though agreed content deal personal video recorder company tivo bill gate also showcased keynote speech ce tivo go service mean u consumer able take programme record tivos transfer free watch window based portable medium player smartphones also said launched service mtv let people watch comedy central vh country music tv device service launching msn provide people shortened version news entertainment video subscription basis download via pc onto portable device ability record directly tv vcr digital cable satellite box window based device offer certainly give people content watch go increased capability device content deal done may go way persuading people use recent research jupiter suggested people would prefer device dedicated music european wanted watch video move seemed interested spending cash music device year ready explosion portable medium microsoft mike coleman told bbc news website bullish fact put photo share super cool consumer added fact european far larger public transport user american one reason portable medium take coming year burgeoning market commuter watch news programme way work although microsoft content distribution deal u market moment talk always going european content supplier offer similar service various right management issue ironed first however prevent people finding way create content share online swap portable device particularly via wi fi enabled possibility open non professional maker video audio take advantage growing portable medium market distribute work ce run january showcase new gadget hitting shelf
tech,mobile medium player yet mobile yet ready singing dancing multimedia device replace portable medium player say two report despite move bring music download service mobile people want trade multimedia service size battery life said jupiter separate study gartner also said real time tv broadcast mobile unlikely europe technical issue standard must resolved first said report battery already cope service operator offer like video playback video messaging megapixel camera game amongst others bringing music download service based success computer based download service put demand battery life fifty percent european said size mobile important factor came choosing phone power demand tend mean larger handset mobile phone music service must positioned compete pc music experience handset yet ready said thomas husson mobile analyst jupiter research mobile music service new different enable operator differentiate brand support third generation network launch problem facing mobile music include limited storage phone compared portable player hold music mobile industry keen get music downloading success apple itunes napster net music download service phone getting smarter powerful also demand able watch tv move u service like tivo go let people transfer pre recorded tv content onto phone gartner report mobile tv broadcasting europe suggests direct broadcasting wait currently tv like service clip downloaded offered several european operator like italy tim mobile tv overcome several barrier widely taken though said report various standard way getting tv signal mobile worked globally europe trial berlin helsinki making use terrestrial tv mast broadcast compressed signal handset extra receiver service norwegian broadcasting corporation let people watch tv programme mobile hour day service us technology one standard mobile tv end european telecommunication institute etsi formally adopted digital video broadcasting handheld dvb h mobile tv broadcasting standard europe operator working standard way bring real time broadcast mobile well trying overcome several barrier cost infrastructure need set service need addressed handset also need able work dvb h standard tv service live expectation digital tv generation expects good quality image low price according analyst people also likely put watching tv small screen said gartner digital video recorder like europe sky box video demand service mean people much control tv watch result people may see broadcasting straight mobile taking away control powerful smartphones like xda ii nokia sonyericsson p orange e offering web access text multimedia messaging e mail calendar gaming becoming increasingly common report analyst instat mdr predicted smartphone shipment grow next five year say smartphones make million million handset shipped globally
business,foster buy stake winemaker australian brewer foster bought large stake australian winemaker southcorp sparking rumour possible takeover foster bought southcorp global winemaker behind penfolds lindemans rosemount brand australian dollar per share bid price would value company foster said currently discussion may lead major corporate announcement separate statement southcorp confirmed brewer asked talk firm asked sydney stock market suspend trading share monday southcorp share suspended foster bought stake reline investment family investment firm oatleys founded rosemount estate label sold southcorp robert oatley son sandy oatley resigned southcorp board following share deal southcorp employ people largest single investor rural australia according website prospect foster launching major acquisition startled investor brewer said last summer looking expand big buy near future cash available getting selling property business lensworth widely expected return cash shareholder people scratching head one foster done back flip said shawn burn fund manger deutsche asset management southcorp share risen recent month speculation could become takeover target spent two year red returning profit consolidation wine industry driven constellation world biggest winemaker seized top spot bought australian firm brl hardy since paid u wine maker robert mondavi bought last month foster main wine business beringer blass wine estate best known brand foster lager though make clutch beer brand spirit analyst divided thursday whether foster likely go takeover merely wanted take big enough chunk southcorp prevent falling rival currently think strategic position sensible rather outright takeover said one analyst quoted agence france presse news agency however matt williams fund manager perpetual trustee said taking stake definitely precursor takeover
sport,minister dig doping row belgian sport minister centre svetlana kuznetsova doping row say apologise making allegation claude eerdekens claim u open champion tested positive ephedrine exhibition event last month criticised making announcement said never apologise product banned explain kuznetsova say stimulant may cold remedy took russian said nothing wrong taking medicine event woman tennis association cleared kuznetsova offence drug banned taken competition eerdekens said made statement order protect three player took part tournament belgian justine henin hardenne nathalie dechy france russia elena dementieva dechy fuming implicated row happy see face cover page talking doping dechy said im really upset think belgian government really bad job think deserve apology guy cannot say anything like cannot say stuff like saying one girl terrible dementieva also angry say dechy real victim scandal idea day hard said wta trying handle problem saying three victim see two victim story nathalie dechy really nothing honest feel like want talk sveta im upset way everything happened
